channelId,channel_commentCount,channel_viewCount,channel_videoCount,channel_subscriberCount
UCVcb5c_-h5HxMZobDTCzBkg,0,4875811,620,13869
UCs0NBBFNnMoOMdB1D9ZEbkg,0,7918984,316,5913
UCkLJqy2fWYqBhPinnJjqXrA,0,2863820,1260,6180
UCqhrVgL7_SumSLwmStIFQhw,3,678433,530,4228
UCi4sUjs8u1pat9GMgp3pNlQ,0,10,1,0
UCKFT_hBY41HyXxEyLAAudnw,517,22954081,319,40773
UCjAoYe0Hh_8rZkwXjJyG_sA,0,157508492,51,260532
UCe5GGpaDLzQ-SJkJi6JF_pg,0,1052504,33,6061
UCRCrWs6vTyNcpGpxHQvUbQg,0,32934870,957,0
UCx-B61V-oMWfLgYFruxd73w,0,718191,57,2863
UCLq2qae1GfMrH_t_Tu4Grdg,49,3126051,458,17159
UCdN-RKEorn61nZ3mTw4uq1g,0,101592,37,1833
UCTy2aWR7RVHL4XjApTtf6aA,0,24979009,129,35796
UC2wmOtMKouDNCE67tMmoNAA,2,2150117,69,1040
UCs231K71Bnu5295_x0MB5Pg,1,246966716,117612,374325
UCS0PPChk2Qm0d-LydH7gQnw,5,673110,21,574
UCS0PPChk2Qm0d-LydH7gQnw,5,673110,21,574
UCS0PPChk2Qm0d-LydH7gQnw,5,673110,21,574
UCTYvOA2JAeAhs02mLFVtz1Q,0,11059734,65,68095
UCS0PPChk2Qm0d-LydH7gQnw,5,673110,21,574
UCS0PPChk2Qm0d-LydH7gQnw,5,673110,21,574
UCS0PPChk2Qm0d-LydH7gQnw,5,673110,21,574
UCYlxZYwEE1LRqQL2UG8gM5A,0,2943,25,23
UCN8lyL3ULL-0XJ43m1vbYuA,0,29,6,0
UC_ZqU6GVeZ1BJsz4TSFW05g,0,374301,14,265
UCYtWSZWHYPbmwsh2CEUyMrQ,381,309866441,161,624389
UCXa_Oq65-bXDim7ZbBraXcw,10,55984867,318,126531
UCQArDd3ybp7wm37TTmKu9Wg,41,19931895,215,97870
UCNX6CMrFVD0UgsMp9Mm3XIw,0,140741,63,188
UC1k4vqx2vs15bJLXDLdRxTA,4,83583,228,142
UCjnJwlSN4_FuoE-6RWX_Eaw,0,317834,87,3556
UCaLk-IxK1PG2PCy-rkKp3mQ,0,5674,1,27
UCYMbQxiAnw_KPTg1jT78dHA,0,347,1,1
UCVg8JuO9t0ZAmzPcd7C6AIQ,66,153993216,143,486363
UCMUcTceXYCuCyGTNMNvc1qQ,0,186683359,1033,472200
UC2O2FyrBnJjzyTSKHxpa9_A,0,882714,9,5186
UCXKJrYczY2_fJEZgFPGY0HQ,4,57704008,15296,46629
UCiJioDz71bFsFoLmo0B3ixA,3,112230333,119,367266
UCQb-l8mLXS0D3unjB0VYTpA,0,8312243,105,8964
UCfm4y4rHF5HGrSr-qbvOwOg,3768,1834543343,579,11375684
UCETZ7r1_8C1DNFDO-7UXwqw,3578,1251924527,131,2106843
UC8n1S-0HJMlOgwu-D8igoQA,12,5170028,16,4777
UCvkGOw5JmJ3TPdXNiEFwq6Q,0,1661848,170,20629
UCXJDOdo1GlAs7iGMkhs7_1w,0,35748,18,126
UCwS_L4s4211w7poSarJLAGA,5,21648843,296,13917
UCFKn479v4C78N9FPVlIxjUw,0,3716027,343,21710
UCk3PQ7H1Q3sAOht8ej2lsjA,6,125144,248,1358
UCP68YooVxcJnbzlA0bXDazg,0,4926296,340,5304
UCazM5oX41f0eDAcb4N63l-w,0,813139293,6021,677386
UC7e8Rh7guBv9mczKFGp4zpw,4,21098115,12,19394
UC9S9nxMmZhLxdyoZRd8yhfA,0,14227752,17,56064
UCg7pFgGDO1zMyn1fJoejoEA,20,18131389,49,189078
UCPXTXMecYqnRKNdqdVOGSFg,0,438642505,43914,572635
UC_qK_vhiwFwj838V-IdEv_A,44,10310761,2350,6376
UC9cPfB3DwznvHNT_4LfxEQA,0,18274296,228,34149
UC1kEG25q-JE69jVw5ITXCrA,0,4113246,151,70045
UCHQw4FdMVPYztZJlN1y78_w,0,10326806,1325,19939
UCPaJ5g6yjeWb13sZCVDFgHg,0,58259387,7366,136152
UClH0xVO3zOfYdGjoPU6S2hw,0,7080110,169,73514
UClH0xVO3zOfYdGjoPU6S2hw,0,7080110,169,73514
UCwS_L4s4211w7poSarJLAGA,5,21648843,296,13917
UCYY0hfaePWpUUR7jc7u3hYA,0,173,11,3
UCWVjw78emDKEk1sii4PGBDA,0,225,1,0
UCKtpwWoLGO6kbhckImdrtQw,0,488196,177,0
UC-Mx65YfbPDxca67jIsyAlg,0,3102,6,0
UCq-Fj5jknLsUf-MWSy4_brA,2264,16744502039,10621,17790809
UCncmmq2xV1002xNnx9_rDhw,0,150505472,13,312373
UC0qkoqJljrrMEhPO1FXCc0w,0,67284065,9,151951
