videoId,title_sentiment,description_sentiment
bjBwri_QujU,0.2263,0.6369
y2jAD9G_aLs,0,0
KsjUUIOOCNE,-0.296,-0.2732
Bjd0fQMpLLE,0,0
4V1w27m3dEw,0,0
fJhk-c7sJ9k,0.4215,0.9331
mNbqMvlnPoc,0,0
tOsuJblEqr0,0,0
6taG7R3A5jg,0,0.9217
eJV_vVCpxRM,0,0.8034
QLA1m3POfy0,0.5707,0.7317
fVyyei11Z8o,0,0.9799
_G2yl0pysrE,0,0.4404
ikRhzVx-cQY,-0.6369,-0.6369
i4SNNV6rh0o,0,0
jxFoG_pHWZk,0.1531,0.4404
QzzKx2lKJwA,0.1531,-0.4019
Ln5ezS4ApvY,0.1531,0
QKxWY4X_A94,-0.6523,-0.9979
swbqp03M0Ho,0.1531,0.1531
CzeStEtgnRo,0.1531,0
IeZcEK_dQJ4,0.1531,0.296
DEnO0qGLxjc,0,0.9818
cjWbsAT-s50,-0.296,0.4215
n1Zwoz0L99M,0.4574,0.0772
anI5b2PEmdA,0,0.8553
wG5xcn2ZXA4,0,-0.9309
GFv-1C4pMn4,0,0.9041
9uo6fUx1apY,-0.296,0
rC_bgNxnW-Q,-0.7506,0
OFbHxWGAOgs,0,0.9945
TF0IOYCc5Fw,0,0
m_CcMWb4xHs,0,0.5859
9PFzgo8ezVY,0,0
96gMBPkUHvA,0,-0.296
8r0CiLBM1o8,0,0.4939
nZe8-fHe1iY,0,0
k6oJj0ZyLKc,0,0.9448
amJjqDSJH7s,0,0.5859
bcmbKN1aIOU,0.1513,0.995
G6KuhTsiLVI,0,0.6544
q0BGlBprfho,0,0.8555
ZxK9KYQsGnQ,0,0.9937
mbwH2txDG5g,0,0.8972
R9wj3I39gSY,0.2732,0.9816
ul5SP4kHJxo,0.1779,0.8105
rQ3qbCsi4RQ,0,0.9848
0lMMbWh2hd8,0.34,0.34
k7DpSJRt7Lc,0,0
Z_Tzi5awvzs,0.4404,0.9578
h5jz8xdpR0M,0,0.128
5EGbOSoyl5I,0,0
VPicYnSsJBo,0.4588,0.6705
pocxNh49Kzg,0,0.3421
hZ2K0UVONXQ,0.743,0.9743
XMLmryofLAc,0,-0.4039
CvtHUQB0RRM,-0.6369,-0.4071
gog1ftzn9IM,0,0.6486
HlCM6qehOYU,0,0.3612
-gVQf8NDVJY,0,0.3612
4TcLSS4dDmk,0,0.9181
vStNb2aeHB8,0,0.8555
VsFsLN-nUTk,-0.0516,0
bylorvTZBF8,0,0.8327
ATBqExoj4M4,0,0
OCZTqrm2QJA,0,0.9481
pqJBXjzBr_U,0,0
QqH3kx_LNS4,0,0
Vlb5SqR4Qnc,0,0
j9tzS4g299g,0,0
LkUqqoKB4rM,0,0.873
2D-daUf1rYE,0,0
X8NSxXcWbq8,0,0
p3mSkYxFkCU,0,0
qG81Oqsp1Mc,0,0
qubsgC7nLJg,0,0
c0c-GiuO0d0,0,0
U-DDz-WjqrY,0,0
DXnM8a629Cw,0,0
vcKCVAjfKfg,0,0
GS1znHGqyq8,0,0
upCTpj2Epjk,-0.4767,0
uccFOAy5jvI,0,-0.25
SWNH7OLHZkA,0,0
TR3BrBgHTJQ,0,0
s4fkXQlpGNo,0,0.5267
MzDsubs8nB0,0,0
PIRTKBpLYGI,0,0.34
3sWEpu3B-yA,0.7096,0.7096
7b2t6y1cHzU,0,0
e8LJEJa6EEU,0.0258,0.1027
6fg50SLv0To,0,0
BfFK1oQaO80,0,0.8634
Pk6T_a3jJys,0,0
wh2fLn0I7Xk,0,0
lhY37Bzv308,0,0
XKjyDtKhQmI,0,0
SfdkhHPjQ64,0,0
lmwk63oG5y4,0,0
wtHzINm45kg,0,0
DtyyjNgT334,0,0
QrEmhNxVZ3I,0,0
fum4VQ4l1hM,0,0
RKR9B_6C2-4,0,0
--YgM_2-DTA,0,0
LFjdWXuJGcU,0,0.6486
S3KQec09b18,-0.6249,0.9698
z8bs_KtY0U0,0.5106,0.972
78edWgVeQCE,0.7845,0.9501
yaQK7B6wWjU,0,0
Hcx4oMjvXO0,0,0
xHhkmZkRnlY,0,-0.1027
sQ4ljea17yI,0,0.4404
F8PRVqeUqC0,0.2023,0.5719
C96yHWcHYmw,0,0.4404
ZRV1tmFlL_0,0,0.8481
fgwtFy17e5o,0.9465,0.9902
YThzmbjBeeg,0,0
dVJIwfifaoo,0,0.5319
1HPeqE4pzwY,0.3612,0.1873
KJLWVa1M18o,0,0.9322
bDbYxVAOxCU,0,-0.6808
8GFiHnpXb6w,-0.4939,0.4404
pU_5QRmTRr8,0,0
xXxVpFXhXZA,0,0.6597
l6yGUnT81QQ,0.4404,0
p4UGztcZzSM,0.4215,0.7269
48C2o-CJUAE,0.4404,0
bm6e1rB3_qc,0.3612,0.4019
_F4HekGiQHM,0,0
Yei1Oohg0YQ,0,0.6597
5aSh8d3yM-Q,-0.25,0.4019
QMPv9QFiwik,0,0.9491
Y6lrNKZYn58,0.4019,0
nt637QFVTjo,0,0
LJR7JbhNsOM,0,0
YvDQ9fMUkzQ,0.4404,-0.0516
